feature,importance
bedrooms,0.1252766646649178
bathrooms,0.09355275332906217
security_deposit,0.08471791297347471
cleaning_fee,0.07656836177804478
minimum_nights,0.07193943940790906
Boat,0.07120463995553793
extra_people,0.06317174738074209
beds,0.045877783130395526
availability_365,0.04292143715294312
availability,0.03545114471448836
Entire home/apt,0.028528340787100002
number_of_reviews,0.020061099362029166
maximum_nights,0.013064292265484072
Hangers,0.01199964906940685
within a day,0.011576615265807354
Hair dryer,0.009157506755422878
Suitable for events,0.008780539311952142
Laptop friendly workspace,0.0080056462161393
Elevator in building,0.00746870021510831
24-hour check-in,0.007203603428096148
within an hour,0.007107147836963749
Essentials,0.006924742336789174
Breakfast,0.006738722836149647
guests_included,0.006005827168730034
flexible,0.005836380294785991
guests_included,0.00579811291627024
review_scores_rating,0.0054022495544860825
Cable TV,0.004562831192550715
Indoor fireplace,0.004316805148998587
First aid kit,0.004062460485985927
review_scores_cleanliness,0.003972275437493865
review_scores_location,0.003892713064404732
Lock on bedroom door,0.0038690539021243196
smoking,0.0038253802098081697
Doorman Entry,0.0034266851055372955
Internet,0.003280074684315795
Free parking on premises,0.0031346762804246074
Iron,0.0030436261996019337
Apartment,0.0029563864160381324
Other,0.0028842851026675016
Buzzer/wireless intercom,0.0027948647331769217
House,0.002779015189015759
moderate,0.002728501221541381
Pool,0.0024347191043281847
Gym,0.002420307165578488
Fire extinguisher,0.0024179540318794352
Condominium,0.00237042721301992
Wheelchair accessible,0.002180232249347945
within a few hours,0.002178088607368794
Hot tub,0.0020583214199656145
guest,0.0019362521587871924
Shampoo,0.001899342823527058
Carbon monoxide detector,0.0018180247574608348
Self Check-In,0.0018170151379973188
Wireless Internet,0.001735425611944632
Private entrance,0.0017179579683775244
Pets allowed,0.001677302466972021
Heating,0.001657511590484589
Room-darkening shades,0.0016508799582640136
Safety card,0.0015796200467904555
Private room,0.00156087723073509
Kitchen,0.0015540253470081697
Smoke detector,0.0015343669963969046
Dryer,0.00152812416931911
strict,0.0015088132603228116
party,0.0014809928826071343
TV,0.0013623637015592032
Boutique hotel,0.0013587432571133963
pet,0.0013006001478702734
Washer,0.001253664197428887
review_scores_value,0.0012062697335383822
Family/kid friendly,0.001169063025883342
Bathtub,0.001045107503946875
a few days or more,0.0010418291689372465
Townhouse,0.000864371162785209
Pets live on this property,0.0008407107707256935
Loft,0.0008405452369993439
Dog(s),0.0008100990674105399
Lockbox,0.0006917740952665246
Air conditioning,0.0006612281131423821
review_scores_communication,0.0006565636976347825
Doorman,0.0006479628815680582
Smartlock,0.0006140478001557943
Keypad,0.0005732964653531495
review_scores_checkin,0.0005332276571508708
Bed & Breakfast,0.00036796809090993495
Smoking allowed,0.0003597747159762846
Shared room,0.00033978687327154743
Pack ’n Play/travel crib,0.0003205981480085712
Private living room,0.0003205634302254135
Futon,0.0003009432240682718
Children’s books and toys,0.0002703365907605379
Guesthouse,0.00023078236876677483
High chair,0.00019266796904850284
Cat(s),0.00018198833298585022
super_strict_30,0.0001753870341557354
Couch,0.00011906450703778555
Bed linens,0.00011487135863396278
Real Bed,0.00010654097659519496
Microwave,8.848371314042109e-05
Hot water,8.22705332516218e-05
Refrigerator,7.238822453323455e-05
Extra pillows and blankets,6.644272927524574e-05
Oven,4.496748646168509e-05
Stove,4.3894421864050776e-05
Dishes and silverware,2.9973799991010034e-05
Cooking basics,2.9728530081363207e-05
Pull-out Sofa,2.552063048606616e-05
Airbed,1.6013792296956274e-05
Timeshare,1.4703754956352316e-05
In-law,1.1601443515288543e-05
Dorm,3.407691381393923e-06
Bungalow,2.614570188265563e-06
Guest suite,2.5021131435863307e-06
Serviced apartment,2.373058689922115e-06
Villa,2.3272632081021468e-06
Vacation home,4.821183436984422e-07
super_strict_60,1.49952202022599e-07
Hostel,1.3618766986492595e-07
